model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression [WITHOUT scaling],0.9197077172891206,0.9091039914985266,0.8726780185758514,0.9447738643969443,0.056996805111821085,ablation: scaling
LogisticRegression [WITH scaling],0.9803862917699342,0.9779357566600211,0.9767801857585139,0.9978058388312445,0.017827476038338657,ablation: scaling
RandomForest [WITHOUT scaling],0.9984189385522605,0.9982157633071267,0.9976780185758514,0.9998795446377643,0.0012140575079872204,ablation: scaling
RandomForest [WITH scaling],0.9985471327236989,0.9983602710196671,0.9976780185758514,0.9998193602310607,0.0010223642172523962,ablation: scaling
MLP (neural network) [WITHOUT scaling],0.9714981625502094,0.9674610783669613,0.9347265221878225,0.981893597694669,0.010287539936102236,ablation: scaling
MLP (neural network) [WITH scaling],0.9942739936757542,0.9935379594918512,0.9913570691434469,0.9997752491781984,0.004281150159744409,ablation: scaling
