model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression [WITHOUT scaling],0.9551545410784852,0.9075309006226746,0.7880543793180299,0.9032878450161995,0.015197448199504403,ablation: scaling
LogisticRegression [WITH scaling],0.9720807352595462,0.9418212797512894,0.8324790134462521,0.9914826956340763,0.003150208256445405,ablation: scaling
RandomForest [WITHOUT scaling],0.9983655923608235,0.9968036519666756,0.9931654409033505,0.9997375294013033,0.0007117625349290874,ablation: scaling
RandomForest [WITH scaling],0.9983767869336946,0.9968252532355043,0.9930911522175173,0.9997404507949632,0.0006854009595613434,ablation: scaling
MLP (neural network) [WITHOUT scaling],0.9715545903346058,0.9445855979630284,0.908922071168561,0.968586831204571,0.017332735804291663,ablation: scaling
MLP (neural network) [WITH scaling],0.9947833290420804,0.9898079377989515,0.9824678701433771,0.9995194814157004,0.0030315811672905575,ablation: scaling
