model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression,0.9720807352595462,0.9418212797512894,0.8324790134462521,0.9914826956340763,0.003150208256445405,{'C': 1.0}
RandomForest,0.9983655923608235,0.9968013017691723,0.9922739766733526,0.9999246865987437,0.0005535930827226235,"{'n_estimators': 300, 'max_depth': 20}"
MLP (neural network),0.9947833290420804,0.9898079377989515,0.9824678701433771,0.9995194814157004,0.0030315811672905575,"{'hidden_layer_sizes': (64, 32)}"
