model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression [WITHOUT scaling],0.9221861379369285,0.911822143483326,0.874484004127967,0.947101644592594,0.054185303514376996,ablation: scaling
LogisticRegression [WITH scaling],0.9803862917699342,0.9779357566600211,0.9767801857585139,0.9978061520555758,0.017827476038338657,ablation: scaling
RandomForest [WITHOUT scaling],0.9984189385522605,0.9982157633071267,0.9976780185758514,0.999879643550711,0.0012140575079872204,ablation: scaling
RandomForest [WITH scaling],0.9985044013332194,0.9983119887299615,0.9975490196078431,0.9998506785428145,0.0010223642172523962,ablation: scaling
MLP (neural network) [WITHOUT scaling],0.9663703956926758,0.9618226045411977,0.9376934984520123,0.9807344822072094,0.019424920127795526,ablation: scaling
MLP (neural network) [WITH scaling],0.9942739936757542,0.9935379594918512,0.9913570691434469,0.9997752491781984,0.004281150159744409,ablation: scaling
