model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression [WITHOUT scaling],0.9532066853989186,0.9033479407681264,0.7796597578188842,0.8979306533467644,0.016001476248220594,ablation: scaling
LogisticRegression [WITH scaling],0.9720919298324172,0.9418700313379369,0.8329990342470842,0.9914678649223714,0.003229292982548637,ablation: scaling
RandomForest [WITHOUT scaling],0.9983655923608235,0.9968036519666756,0.9931654409033505,0.9997375294013033,0.0007117625349290874,ablation: scaling
RandomForest [WITH scaling],0.9983767869336946,0.9968252532355043,0.9930911522175173,0.9997404507949632,0.0006854009595613434,ablation: scaling
MLP (neural network) [WITHOUT scaling],0.9709948616910522,0.9425255717047216,0.8865611767327836,0.9589545821135695,0.014024358095639795,ablation: scaling
MLP (neural network) [WITH scaling],0.9949288584894044,0.9900792234670658,0.9813535398558799,0.9993886585973573,0.0026625191121421414,ablation: scaling
