model,accuracy,macro_f1,recall_attack,roc_auc,FAR,notes
LogisticRegression,0.9721,0.9419,0.833,0.9915,0.0032,{'C': 1.0}
RandomForest,0.9984,0.9968,0.9923,0.9999,0.0006,"{'n_estimators': 300, 'max_depth': 20}"
MLP (neural network),0.9949,0.9901,0.9814,0.9994,0.0027,"{'hidden_layer_sizes': (64, 32)}"
LogisticRegression [WITHOUT scaling],0.9532,0.9033,0.7797,0.8979,0.016,ablation: scaling
LogisticRegression [WITH scaling],0.9721,0.9419,0.833,0.9915,0.0032,ablation: scaling
RandomForest [WITHOUT scaling],0.9984,0.9968,0.9932,0.9997,0.0007,ablation: scaling
RandomForest [WITH scaling],0.9984,0.9968,0.9931,0.9997,0.0007,ablation: scaling
MLP (neural network) [WITHOUT scaling],0.971,0.9425,0.8866,0.959,0.014,ablation: scaling
MLP (neural network) [WITH scaling],0.9949,0.9901,0.9814,0.9994,0.0027,ablation: scaling
